OBJECTID,SubmitterOrganization,SubmitterPerson,Collector,InstitutionCode,CollectionCode,CatalogNumber,BasisOfRecord,Source,Family,Genus,ScientificName,Species,IdentifiedBy,IdentificationMethod,VerbatimCollectingDate,TimeCollected,Country,StateProvince,County,Locality,EarliestDateCollected,LatestDateCollected,DecimalLongitude,DecimalLatitude,CoordinateUncertaintyInMeters,VerbatimCoordinates,IndividualCount,Sex,LifeStage,Remarks,HabitatType,CollectingMethod,VerbatimHostName,HostScientificName,HostCommonName,HostIndividualCount,HostCountInfested,AssociatedParasite,NumberSpecimensParasiteTested,IdentificationMethodForParasite,NumberParasitePositive,ParasiteTestedBy,EarliestYearCollected,x,y
174348,USAMRIID,Lee J.,Lee J.S. et al.,TMap,GG-PCR6,0042,Human Observation,No data,Ixodidae,Hyalomma,Hyalomma sp.,sp.,No data,Morphology,5/14/2009,No data,Georgia,No data,No data,No data,5/14/2009 12:00:00 AM,5/14/2009 12:00:00 AM,43.26211,41.56548,30,43.26211 41.56548,5,"Male, Female",Adult,No data,No data,Attached or crawling on animal,Cow,Bos taurus taurus_Linnaeus 1758,Cattle,No data,No data,No data,No data,No data,No data,No data,2009,43.2621100000001,41.56548
174349,USAMRIID,Lee J.,Lee J.S. et al.,TMap,GG-PCR6,0051,Human Observation,No data,Ixodidae,Hyalomma,Hyalomma sp.,sp.,No data,Morphology,5/14/2009,No data,Georgia,No data,No data,No data,5/14/2009 12:00:00 AM,5/14/2009 12:00:00 AM,43.26032,41.56552,30,43.26032 41.56552,11,"Male, Female",Adult,No data,No data,Attached or crawling on animal,Cow,Bos taurus taurus_Linnaeus 1758,Cattle,No data,No data,No data,No data,No data,No data,No data,2009,43.26032,41.56552
174350,USAMRIID,Lee J.,Lee J.S. et al.,TMap,GG-PCR6,0047,Human Observation,No data,Ixodidae,Hyalomma,Hyalomma sp.,sp.,No data,Morphology,5/14/2009,No data,Georgia,No data,No data,No data,5/14/2009 12:00:00 AM,5/14/2009 12:00:00 AM,43.26288,41.56568,30,43.26288 41.56568,25,"Male, Female",Adult,No data,No data,Attached or crawling on animal,Cow,Bos taurus taurus_Linnaeus 1758,Cattle,No data,No data,No data,No data,No data,No data,No data,2009,43.2628800000001,41.56568
174351,USAMRIID,Lee J.,Lee J.S. et al.,TMap,GG-PCR6,0049,Human Observation,No data,Ixodidae,Hyalomma,Hyalomma sp.,sp.,No data,Morphology,5/14/2009,No data,Georgia,No data,No data,No data,5/14/2009 12:00:00 AM,5/14/2009 12:00:00 AM,43.26338,41.56602,30,43.26338 41.56602,10,"Male, Female",Adult,No data,No data,Attached or crawling on animal,Cow,Bos taurus taurus_Linnaeus 1758,Cattle,No data,No data,No data,No data,No data,No data,No data,2009,43.26338,41.56602
174352,USAMRIID,Lee J.,Lee J.S. et al.,TMap,GG-PCR6,0040,Human Observation,No data,Ixodidae,Hyalomma,Hyalomma sp.,sp.,No data,Morphology,5/14/2009,No data,Georgia,No data,No data,No data,5/14/2009 12:00:00 AM,5/14/2009 12:00:00 AM,43.26047,41.56607,30,43.26047 41.56607,6,"Male, Female",Adult,No data,No data,Attached or crawling on animal,Cow,Bos taurus taurus_Linnaeus 1758,Cattle,No data,No data,No data,No data,No data,No data,No data,2009,43.2604700000001,41.5660700000001
174353,USAMRIID,Lee J.,Lee J.S. et al.,TMap,GG-PCR6,0041,Human Observation,No data,Ixodidae,Hyalomma,Hyalomma sp.,sp.,No data,Morphology,5/14/2009,No data,Georgia,No data,No data,No data,5/14/2009 12:00:00 AM,5/14/2009 12:00:00 AM,43.26088,41.56644,30,43.26088 41.56644,5,"Male, Female",Adult,No data,No data,Attached or crawling on animal,Cow,Bos taurus taurus_Linnaeus 1758,Cattle,No data,No data,No data,No data,No data,No data,No data,2009,43.26088,41.5664400000001
174354,USAMRIID,Lee J.,Lee J.S. et al.,TMap,GG-PCR6,0030,Human Observation,No data,Ixodidae,Dermacentor,Dermacentor marginatus,marginatus,No data,Morphology,5/13/2009,No data,Georgia,No data,No data,No data,5/13/2009 12:00:00 AM,5/13/2009 12:00:00 AM,43.02594,41.66404,30,43.02594 41.66404,5,"Male, Female",Adult,No data,No data,Dragging,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,2009,43.02594,41.6640400000001
174355,USAMRIID,Lee J.,Lee J.S. et al.,TMap,GG-PCR6,0031,Human Observation,No data,Ixodidae,Haemaphysalis,Haemaphysalis punctata,punctata,No data,Morphology,5/13/2009,No data,Georgia,No data,No data,No data,5/13/2009 12:00:00 AM,5/13/2009 12:00:00 AM,43.02594,41.66404,30,43.02594 41.66404,12,"Male, Female",Adult,No data,No data,Dragging,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,2009,43.02594,41.6640400000001
174356,USAMRIID,Lee J.,Lee J.S. et al.,TMap,GG-PCR6,0027,Human Observation,No data,Ixodidae,Haemaphysalis,Haemaphysalis punctata,punctata,No data,Morphology,5/13/2009,No data,Georgia,No data,No data,No data,5/13/2009 12:00:00 AM,5/13/2009 12:00:00 AM,43.0734,41.66462,30,43.07340 41.66462,17,"Male, Female",Adult,No data,No data,Dragging,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,2009,43.0734,41.6646200000001
174357,USAMRIID,Lee J.,Lee J.S. et al.,TMap,GG-PCR6,0025,Human Observation,No data,Ixodidae,Haemaphysalis,Haemaphysalis sp.,sp.,No data,Morphology,5/13/2009,No data,Georgia,No data,No data,No data,5/13/2009 12:00:00 AM,5/13/2009 12:00:00 AM,43.0734,41.66462,30,43.07340 41.66462,5,"Male, Female",Adult,No data,No data,Dragging,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,2009,43.0734,41.6646200000001
174358,USAMRIID,Lee J.,Lee J.S. et al.,TMap,GG-PCR6,0009,Human Observation,No data,Ixodidae,Dermacentor,Dermacentor marginatus,marginatus,No data,Morphology,5/12/2009,No data,Georgia,No data,No data,No data,5/12/2009 12:00:00 AM,5/12/2009 12:00:00 AM,43.04311,41.66493,30,43.04311 41.66493,45,"Male, Female",Adult,No data,No data,Dragging,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,2009,43.0431100000001,41.6649300000001
174359,USAMRIID,Lee J.,Lee J.S. et al.,TMap,GG-PCR6,0011,Human Observation,No data,Ixodidae,Haemaphysalis,Haemaphysalis punctata,punctata,No data,Morphology,5/12/2009,No data,Georgia,No data,No data,No data,5/12/2009 12:00:00 AM,5/12/2009 12:00:00 AM,43.04311,41.66493,30,43.04311 41.66493,10,"Male, Female",Adult,No data,No data,Dragging,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,2009,43.0431100000001,41.6649300000001
174360,USAMRIID,Lee J.,Lee J.S. et al.,TMap,GG-PCR6,0022,Human Observation,No data,Ixodidae,Haemaphysalis,Haemaphysalis punctata,punctata,No data,Morphology,5/13/2009,No data,Georgia,No data,No data,No data,5/13/2009 12:00:00 AM,5/13/2009 12:00:00 AM,43.06303,41.69537,30,43.06303 41.69537,66,"Male, Female",Adult,No data,No data,Dragging,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,2009,43.0630300000001,41.6953700000001
174361,USAMRIID,Lee J.,Lee J.S. et al.,TMap,GG-PCR6,0024,Human Observation,No data,Ixodidae,Haemaphysalis,Haemaphysalis sp.,sp.,No data,Morphology,5/13/2009,No data,Georgia,No data,No data,No data,5/13/2009 12:00:00 AM,5/13/2009 12:00:00 AM,43.06303,41.69537,30,43.06303 41.69537,2,"Male, Female",Adult,No data,No data,Dragging,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,2009,43.0630300000001,41.6953700000001
174362,USAMRIID,Lee J.,Lee J.S. et al.,TMap,GG-PCR6,0039,Human Observation,No data,Ixodidae,Hyalomma,Hyalomma sp.,sp.,No data,Morphology,5/14/2009,No data,Georgia,No data,No data,No data,5/14/2009 12:00:00 AM,5/14/2009 12:00:00 AM,43.26016,41.5657,30,43.26016 41.56570,5,"Male, Female",Adult,No data,No data,Attached or crawling on animal,Cow,Bos taurus taurus_Linnaeus 1758,Cattle,No data,No data,No data,No data,No data,No data,No data,2009,43.26016,41.5657
174363,USAMRIID,Lee J.,Lee J.S. et al.,TMap,240510,0031,Human Observation,No data,Ixodidae,Dermacentor,Dermacentor marginatus,marginatus,No data,Morphology,5/25/2010,No data,Georgia,No data,No data,No data,5/25/2010 12:00:00 AM,5/25/2010 12:00:00 AM,43.26805555,41.35305555,30,43.26806 41.35306,7,"Male, Female",Adult,No data,No data,Dragging,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,2010,43.268055556,41.3530555560001
174364,USAMRIID,Lee J.,Lee J.S. et al.,TMap,240510,0032,Human Observation,No data,Ixodidae,Dermacentor,Dermacentor marginatus,marginatus,No data,Morphology,5/25/2010,No data,Georgia,No data,No data,No data,5/25/2010 12:00:00 AM,5/25/2010 12:00:00 AM,43.26805555,41.35305555,30,43.26806 41.35306,4,"Male, Female",Nymph,No data,No data,Dragging,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,2010,43.268055556,41.3530555560001
174365,USAMRIID,Lee J.,Lee J.S. et al.,TMap,240510,0030,Human Observation,No data,Ixodidae,Dermacentor,Dermacentor marginatus,marginatus,No data,Morphology,5/25/2010,No data,Georgia,No data,No data,No data,5/25/2010 12:00:00 AM,5/25/2010 12:00:00 AM,43.45972222,41.36972222,30,43.45972 41.36972,151,"Male, Female",Adult,No data,No data,Dragging,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,2010,43.459722222,41.3697222220001
174366,USAMRIID,Lee J.,Lee J.S. et al.,TMap,240510,0035,Human Observation,No data,Ixodidae,Dermacentor,Dermacentor reticulatus,reticulatus,No data,Morphology,5/25/2010,No data,Georgia,No data,No data,No data,5/25/2010 12:00:00 AM,5/25/2010 12:00:00 AM,43.65583333,41.47638888,30,43.65583 41.47639,1,"Male, Female",Adult,No data,No data,Attached or crawling on animal,Cat,Felis catus_Linnaeus 1758,Domestic Cat,No data,No data,No data,No data,No data,No data,No data,2010,43.6558333330001,41.4763888890001
174367,USAMRIID,Lee J.,Lee J.S. et al.,TMap,240510,0033,Human Observation,No data,Ixodidae,Dermacentor,Dermacentor marginatus,marginatus,No data,Morphology,5/25/2010,No data,Georgia,No data,No data,No data,5/25/2010 12:00:00 AM,5/25/2010 12:00:00 AM,43.35388888,41.47222222,30,43.35389 41.47222,1,"Male, Female",Nymph,No data,No data,Dragging,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,2010,43.3538888890001,41.4722222220001
174368,USAMRIID,Lee J.,Lee J.S. et al.,TMap,240510,0034,Human Observation,No data,Ixodidae,Dermacentor,Dermacentor marginatus,marginatus,No data,Morphology,5/25/2010,No data,Georgia,No data,No data,No data,5/25/2010 12:00:00 AM,5/25/2010 12:00:00 AM,43.35388888,41.47222222,30,43.35389 41.47222,3,"Male, Female",Adult,No data,No data,Dragging,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,2010,43.3538888890001,41.4722222220001
174369,USAMRIID,Lee J.,Lee J.S. et al.,TMap,240510,0077,Human Observation,No data,Ixodidae,Dermacentor,Dermacentor marginatus,marginatus,No data,Morphology,5/25/2010,No data,Georgia,No data,No data,No data,5/25/2010 12:00:00 AM,5/25/2010 12:00:00 AM,43.50694444,41.70916666,30,43.50694 41.70917,1,"Male, Female",Adult,No data,No data,Dragging,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,2010,43.5069444440001,41.709166667
174370,USAMRIID,Lee J.,Lee J.S. et al.,TMap,240510,0081,Human Observation,No data,Ixodidae,Dermacentor,Dermacentor marginatus,marginatus,No data,Morphology,5/25/2010,No data,Georgia,No data,No data,No data,5/25/2010 12:00:00 AM,5/25/2010 12:00:00 AM,43.45888888,41.65361111,30,43.45889 41.65361,1,"Male, Female",Adult,No data,No data,Dragging,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,2010,43.458888889,41.6536111110001
174371,USAMRIID,Lee J.,Lee J.S. et al.,TMap,240510,0080,Human Observation,No data,Ixodidae,Haemaphysalis,Haemaphysalis punctata,punctata,No data,Morphology,5/25/2010,No data,Georgia,No data,No data,No data,5/25/2010 12:00:00 AM,5/25/2010 12:00:00 AM,43.45888888,41.65361111,30,43.45889 41.65361,1,"Male, Female",Adult,No data,No data,Dragging,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,2010,43.458888889,41.6536111110001
174372,USAMRIID,Lee J.,Lee J.S. et al.,TMap,240510,0078,Human Observation,No data,Ixodidae,Dermacentor,Dermacentor marginatus,marginatus,No data,Morphology,5/25/2010,No data,Georgia,No data,No data,No data,5/25/2010 12:00:00 AM,5/25/2010 12:00:00 AM,43.63444444,41.75194444,30,43.63444 41.75194,3,"Male, Female",Adult,No data,No data,Dragging,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,2010,43.6344444440001,41.7519444440001
174373,USAMRIID,Lee J.,Lee J.S. et al.,TMap,240510,0079,Human Observation,No data,Ixodidae,Haemaphysalis,Haemaphysalis punctata,punctata,No data,Morphology,5/25/2010,No data,Georgia,No data,No data,No data,5/25/2010 12:00:00 AM,5/25/2010 12:00:00 AM,43.63444444,41.75194444,30,43.63444 41.75194,1,"Male, Female",Adult,No data,No data,Dragging,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,2010,43.6344444440001,41.7519444440001
174374,USAMRIID,Lee J.,Lee J.S. et al.,TMap,240510,0082,Human Observation,No data,Ixodidae,Dermacentor,Dermacentor marginatus,marginatus,No data,Morphology,6/1/2010,No data,Georgia,No data,No data,No data,6/1/2010 12:00:00 AM,6/1/2010 12:00:00 AM,42.28027777,41.79,30,42.28028 41.79000,2,"Male, Female",Adult,No data,No data,Dragging,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,2010,42.2802777780001,41.7900000000001
174375,USAMRIID,Lee J.,Lee J.S. et al.,TMap,240510,0084,Human Observation,No data,Ixodidae,Dermacentor,Dermacentor marginatus,marginatus,No data,Morphology,6/1/2010,No data,Georgia,No data,No data,No data,6/1/2010 12:00:00 AM,6/1/2010 12:00:00 AM,42.23027777,41.70638888,30,42.23028 41.70639,1,"Male, Female",Nymph,No data,No data,Dragging,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,2010,42.2302777780001,41.706388889
174376,USAMRIID,Lee J.,Lee J.S. et al.,TMap,240510,0085,Human Observation,No data,Ixodidae,Rhipicephalus,Rhipicephalus annulatus,annulatus,No data,Morphology,6/1/2010,No data,Georgia,No data,No data,No data,6/1/2010 12:00:00 AM,6/1/2010 12:00:00 AM,42.29138888,41.64,30,42.29139 41.64000,1,"Male, Female",Adult,No data,No data,Attached or crawling on animal,Cow,Bos taurus taurus_Linnaeus 1758,Cattle,No data,No data,No data,No data,No data,No data,No data,2010,42.2913888890001,41.64
174377,USAMRIID,Lee J.,Lee J.S. et al.,TMap,240510,0083,Human Observation,No data,Ixodidae,Dermacentor,Dermacentor marginatus,marginatus,No data,Morphology,6/1/2010,No data,Georgia,No data,No data,No data,6/1/2010 12:00:00 AM,6/1/2010 12:00:00 AM,42.29138888,41.64,30,42.29139 41.64000,1,"Male, Female",Nymph,No data,No data,Dragging,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,2010,42.2913888890001,41.64
174378,USAMRIID,Lee J.,Lee J.S. et al.,TMap,240510,0093,Human Observation,No data,Ixodidae,Rhipicephalus,Rhipicephalus annulatus,annulatus,No data,Morphology,6/1/2010,No data,Georgia,No data,No data,No data,6/1/2010 12:00:00 AM,6/1/2010 12:00:00 AM,42.21,41.73388888,30,42.21000 41.73389,26,"Male, Female",Adult,No data,No data,Attached or crawling on animal,Cow,Bos taurus taurus_Linnaeus 1758,Cattle,No data,No data,No data,No data,No data,No data,No data,2010,42.21,41.7338888890001
174379,USAMRIID,Lee J.,Lee J.S. et al.,TMap,240510,0094,Human Observation,No data,Ixodidae,Dermacentor,Dermacentor marginatus,marginatus,No data,Morphology,6/1/2010,No data,Georgia,No data,No data,No data,6/1/2010 12:00:00 AM,6/1/2010 12:00:00 AM,42.21,41.73388888,30,42.21000 41.73389,3,"Male, Female",Adult,No data,No data,Attached or crawling on animal,Cow,Bos taurus taurus_Linnaeus 1758,Cattle,No data,No data,No data,No data,No data,No data,No data,2010,42.21,41.7338888890001
174380,USAMRIID,Lee J.,Lee J.S. et al.,TMap,240510,0091,Human Observation,No data,Ixodidae,Hyalomma,Hyalomma scupense,scupense,No data,Morphology,6/1/2010,No data,Georgia,No data,No data,No data,6/1/2010 12:00:00 AM,6/1/2010 12:00:00 AM,42.21,41.73388888,30,42.21000 41.73389,1,"Male, Female",Adult,No data,No data,Attached or crawling on animal,Cow,Bos taurus taurus_Linnaeus 1758,Cattle,No data,No data,No data,No data,No data,No data,No data,2010,42.21,41.7338888890001
174381,USAMRIID,Lee J.,Lee J.S. et al.,TMap,240510,0089,Human Observation,No data,Ixodidae,Ixodes,Ixodes ricinus,ricinus,No data,Morphology,6/1/2010,No data,Georgia,No data,No data,No data,6/1/2010 12:00:00 AM,6/1/2010 12:00:00 AM,42.21,41.73388888,30,42.21000 41.73389,1,"Male, Female",Adult,No data,No data,Attached or crawling on animal,Cow,Bos taurus taurus_Linnaeus 1758,Cattle,No data,No data,No data,No data,No data,No data,No data,2010,42.21,41.7338888890001
174382,USAMRIID,Lee J.,Lee J.S. et al.,TMap,240510,0098,Human Observation,No data,Ixodidae,Rhipicephalus,Rhipicephalus annulatus,annulatus,No data,Morphology,6/3/2010,No data,Georgia,No data,No data,No data,6/3/2010 12:00:00 AM,6/3/2010 12:00:00 AM,41.68701,41.64209,30,41.68701 41.64209,5,"Male, Female",Adult,No data,No data,Attached or crawling on animal,Cow,Bos taurus taurus_Linnaeus 1758,Cattle,No data,No data,No data,No data,No data,No data,No data,2010,41.68701,41.6420900000001
174383,USAMRIID,Lee J.,Lee J.S. et al.,TMap,240510,0096,Human Observation,No data,Ixodidae,Hyalomma,Hyalomma marginatum,marginatum,No data,Morphology,6/3/2010,No data,Georgia,No data,No data,No data,6/3/2010 12:00:00 AM,6/3/2010 12:00:00 AM,41.68701,41.64209,30,41.68701 41.64209,2,"Male, Female",Adult,No data,No data,Attached or crawling on animal,Cow,Bos taurus taurus_Linnaeus 1758,Cattle,No data,No data,No data,No data,No data,No data,No data,2010,41.68701,41.6420900000001
174384,USAMRIID,Lee J.,Lee J.S. et al.,TMap,240510,0097,Human Observation,No data,Ixodidae,Ixodes,Ixodes ricinus,ricinus,No data,Morphology,6/3/2010,No data,Georgia,No data,No data,No data,6/3/2010 12:00:00 AM,6/3/2010 12:00:00 AM,41.68701,41.64209,30,41.68701 41.64209,1,"Male, Female",Adult,No data,No data,Attached or crawling on animal,Cow,Bos taurus taurus_Linnaeus 1758,Cattle,No data,No data,No data,No data,No data,No data,No data,2010,41.68701,41.6420900000001
174385,USAMRIID,Lee J.,Lee J.S. et al.,TMap,240510,0111,Human Observation,No data,Ixodidae,Rhipicephalus,Rhipicephalus sanguineus,sanguineus,No data,Morphology,6/2/2010,No data,Georgia,No data,No data,No data,6/2/2010 12:00:00 AM,6/2/2010 12:00:00 AM,41.67297,41.64788,30,41.67297 41.64788,4,"Male, Female",Adult,No data,No data,Attached or crawling on animal,Dog,Canis lupus familiaris_Linnaeus 1758,Domestic Dog,No data,No data,No data,No data,No data,No data,No data,2010,41.6729700000001,41.64788
174386,USAMRIID,Lee J.,Lee J.S. et al.,TMap,240510,0109,Human Observation,No data,Ixodidae,Rhipicephalus,Rhipicephalus annulatus,annulatus,No data,Morphology,6/3/2010,No data,Georgia,No data,No data,No data,6/3/2010 12:00:00 AM,6/3/2010 12:00:00 AM,41.72247,41.67498,30,41.72247 41.67498,2,"Male, Female",Adult,No data,No data,Attached or crawling on animal,Cow,Bos taurus taurus_Linnaeus 1758,Cattle,No data,No data,No data,No data,No data,No data,No data,2010,41.72247,41.6749800000001
174387,USAMRIID,Lee J.,Lee J.S. et al.,TMap,240510,0104,Human Observation,No data,Ixodidae,Rhipicephalus,Rhipicephalus annulatus,annulatus,No data,Morphology,6/3/2010,No data,Georgia,No data,No data,No data,6/3/2010 12:00:00 AM,6/3/2010 12:00:00 AM,41.72223,41.67786,30,41.72223 41.67786,16,"Male, Female",Adult,No data,No data,Attached or crawling on animal,Cow,Bos taurus taurus_Linnaeus 1758,Cattle,No data,No data,No data,No data,No data,No data,No data,2010,41.7222300000001,41.6778600000001
174388,USAMRIID,Lee J.,Lee J.S. et al.,TMap,240510,0103,Human Observation,No data,Ixodidae,Dermacentor,Dermacentor marginatus,marginatus,No data,Morphology,6/3/2010,No data,Georgia,No data,No data,No data,6/3/2010 12:00:00 AM,6/3/2010 12:00:00 AM,41.72223,41.67786,30,41.72223 41.67786,4,"Male, Female",Adult,No data,No data,Attached or crawling on animal,Cow,Bos taurus taurus_Linnaeus 1758,Cattle,No data,No data,No data,No data,No data,No data,No data,2010,41.7222300000001,41.6778600000001
174389,USAMRIID,Lee J.,Lee J.S. et al.,TMap,240510,0108,Human Observation,No data,Ixodidae,Hyalomma,Hyalomma marginatum,marginatum,No data,Morphology,6/3/2010,No data,Georgia,No data,No data,No data,6/3/2010 12:00:00 AM,6/3/2010 12:00:00 AM,41.72223,41.67786,30,41.72223 41.67786,12,"Male, Female",Adult,No data,No data,Attached or crawling on animal,Cow,Bos taurus taurus_Linnaeus 1758,Cattle,No data,No data,No data,No data,No data,No data,No data,2010,41.7222300000001,41.6778600000001
